iata,name,lat,lon,country,continent,region
GAE,Gabès Matmata International Airport,33.7337,9.9194,TN,AF,OTHER
GAF,Gafsa Ksar International Airport,34.422,8.8225,TN,AF,OTHER
GAJ,Yamagata Airport,38.4119,140.371,JP,AS,OTHER
GAL,Edward G. Pitka Sr Airport,64.7362,-156.937,US,NA,OTHER
GAM,Gambell Airport,63.7677,-171.7333,US,NA,OTHER
GAN,Gan International Airport,-0.693,73.1526,MV,AS,OTHER
GAO,Mariana Grajales Airport,20.0853,-75.1583,CU,NA,OTHER
GAQ,Gao International Airport,16.2485,-0.0054,ML,AF,OTHER
GAU,Lokpriya Gopinath Bordoloi International Airport,26.1067,91.5852,IN,AS,OTHER
GAY,Gaya Airport,24.7443,84.9512,IN,AS,OTHER
GBB,Gabala International Airport,40.8086,47.7254,AZ,AS,OTHER
GBE,Sir Seretse Khama International Airport,-24.5552,25.9182,BW,AF,OTHER
GBJ,Marie-Galante Airport,15.8689,-61.2701,GP,NA,EU
GBT,Gorgan Airport,36.9094,54.4013,IR,AS,OTHER
GCC,Northeast Wyoming Regional Airport,44.3489,-105.539,US,NA,OTHER
GCH,Gachsaran Airport,30.3339,50.8338,IR,AS,OTHER
GCI,Guernsey Airport,49.435,-2.602,GG,EU,OTHER
GCJ,Grand Central Airport,-25.9863,28.1401,ZA,AF,OTHER
GCK,Garden City Regional Airport,37.9275,-100.724,US,NA,OTHER
GCM,Owen Roberts International Airport,19.2928,-81.3577,KY,NA,OTHER
GCN,Grand Canyon National Park Airport,35.9524,-112.147,US,NA,OTHER
GDB,Gondia Airport,21.5268,80.2903,IN,AS,OTHER
GDE,Gode Airport,5.9351,43.5786,ET,AF,OTHER
GDL,Guadalajara International Airport,20.5233,-103.3101,MX,NA,OTHER
GDN,Gdańsk Lech Wałęsa Airport,54.3776,18.4662,PL,EU,EU
GDO,Guasdualito Airport,7.2108,-70.7564,VE,SA,OTHER
GDQ,Gondar Airport,12.5199,37.434,ET,AF,OTHER
GDT,JAGS McCartney International Airport,21.4445,-71.1423,TC,NA,OTHER
GDV,Dawson Community Airport,47.1377,-104.8069,US,NA,OTHER
GDX,Sokol Airport,59.911,150.72,RU,AS,OTHER
GDZ,Gelendzhik Airport,44.5821,38.0125,RU,EU,OTHER
GEA,Nouméa Magenta Airport,-22.2577,166.4728,NC,OC,EU
GEC,Lefkoniko Airport / Geçitkale Air Base,35.2359,33.7201,CY,AS,EU
GEG,Spokane International Airport,47.6199,-117.534,US,NA,OTHER
GEL,Santo Ângelo Airport,-28.2825,-54.1696,BR,SA,OTHER
GEM,President Obiang Nguema International Airport,1.6764,11.0249,GQ,AF,OTHER
GEO,Cheddi Jagan International Airport,6.4985,-58.2541,GY,SA,OTHER
GER,Rafael Cabrera Airport,21.8347,-82.7838,CU,NA,OTHER
GES,General Santos International Airport,6.0572,125.0962,PH,AS,OTHER
GET,Geraldton Airport,-28.7961,114.707,AU,OC,OTHER
GEV,Gällivare Airport,67.1324,20.8146,SE,EU,EU
GFF,Griffith Airport,-34.2508,146.067,AU,OC,OTHER
GFK,Grand Forks International Airport,47.9493,-97.1761,US,NA,OTHER
GFL,Floyd Bennett Memorial Airport,43.3412,-73.6103,US,NA,OTHER
GFN,Clarence Valley Regional Airport,-29.7548,153.0312,AU,OC,OTHER
GFR,Granville Airport,48.8831,-1.5642,FR,EU,EU
GFY,Grootfontein Airport,-19.6022,18.1227,NA,AF,OTHER
GGG,East Texas Regional Airport,32.384,-94.7115,US,NA,OTHER
GGT,Exuma International Airport,23.5626,-75.878,BS,NA,OTHER
GGW,Glasgow Valley County Airport Wokal Field,48.2125,-106.615,US,NA,OTHER
GHA,Noumérat - Moufdi Zakaria Airport,32.3841,3.7941,DZ,AF,OTHER
GHB,Governor's Harbour Airport,25.2847,-76.331,BS,NA,OTHER
GHC,Great Harbour Cay Airport,25.7383,-77.8401,BS,NA,OTHER
GHN,Guanghan Airport,30.9485,104.3296,CN,AS,OTHER
GHT,Ghat Airport,25.1456,10.1426,LY,AF,OTHER
GHU,Gualeguaychu Airport,-33.0056,-58.6128,AR,SA,OTHER
GHV,Brașov-Ghimbav International Airport,45.7056,25.5229,RO,EU,EU
GIB,Gibraltar Airport,36.1517,-5.3498,GI,EU,OTHER
GID,Gitega Airport,-3.4172,29.9113,BI,AF,OTHER
GIG,Rio Galeão – Tom Jobim International Airport,-22.81,-43.2506,BR,SA,OTHER
GIL,Gilgit Airport,35.9188,74.3336,PK,AS,OTHER
GIR,Santiago Vila Airport,4.2762,-74.7967,CO,SA,OTHER
GIS,Gisborne Airport,-38.6633,177.978,NZ,OC,OTHER
GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,16.9011,42.5858,SA,AS,OTHER
